pitcher_id,pitcher_name,year,pitches,games,tj_stuff_plus,pitches_per_game,position,pitch_type,mean,std,median,min,max,percentile_1,percentile_99,pitch_grade
686790,Trevor McDonald,2024,4,1,88.29920246971076,,RP,CH,96.36439533826997,7.663220109895275,95.78651131297835,75.7838010068618,126.88906648832534,78.51493938286957,124.49426004224122,39.47545189502664
669387,Carmen Mlodzinski,2024,101,34,107.33223854570252,,RP,ST,106.17151999516818,5.65106351368421,106.06938298103505,90.34027110632152,124.97805676957722,91.00926285691082,124.91564393901608,52.05398248970946
673929,Jordan Leasure,2024,63,24,103.55318910367446,,RP,CU,99.66676113061764,5.055304248712898,98.97705777329324,84.99006741965523,117.2145018265503,85.75029274598747,116.08211823826485,57.6878221010067
676130,José Buttó,2024,153,21,102.02184690256426,,SP,SL,103.62336038980482,4.852487226486507,103.51536605725872,89.72968192726326,121.46286602012653,90.22694164426822,119.34186500318727,46.69960287891341
687362,Connor Gillispie,2024,29,3,93.26619430843996,,SP,FC,99.12448595641919,5.372286121090393,98.7553842387845,84.47486427004132,117.4863112594269,84.52461565643087,116.75833238297322,39.09534690458707
682847,Luis L. Ortiz,2024,570,36,93.37974799457842,,SP,FF,97.52333286348822,6.366416334127703,97.24377592876999,78.99050247057006,119.27129679568058,80.79262870500875,118.99112670977497,43.491495605309744
677955,Jaden Hill,2024,14,6,92.81046763526665,,RP,FF,97.52333286348822,6.366416334127703,97.24377592876999,78.99050247057006,119.27129679568058,80.79262870500875,118.99112670977497,42.59730281389568
669203,Corbin Burnes,2024,327,32,94.84919328795738,,SP,CH,96.36439533826997,7.663220109895275,95.78651131297835,75.7838010068618,126.88906648832534,78.51493938286957,124.49426004224122,48.02276062988709
663362,Matt Waldron,2024,460,27,86.18924629169129,,SP,FF,97.52333286348822,6.366416334127703,97.24377592876999,78.99050247057006,119.27129679568058,80.79262870500875,118.99112670977497,32.197069784708205
666277,George Soriano,2024,221,22,86.99664461044543,,RP,FF,97.52333286348822,6.366416334127703,97.24377592876999,78.99050247057006,119.27129679568058,80.79262870500875,118.99112670977497,33.46528454852441
518585,Fernando Cruz,2024,286,64,104.0687595149153,,RP,FC,99.12448595641919,5.372286121090393,98.7553842387845,84.47486427004132,117.4863112594269,84.52461565643087,116.75833238297322,59.203295295620975
694037,Daniel Palencia,2024,3,1,97.0428431462836,,RP,CU,99.66676113061764,5.055304248712898,98.97705777329324,84.99006741965523,117.2145018265503,85.75029274598747,116.08211823826485,44.80957454736359
666974,Yennier Cano,2024,512,69,103.35528916547149,,RP,SI,94.49964823530452,5.344338064746341,93.98020378501941,82.57837559175192,116.24362481622711,82.57853833475873,114.64456672323678,66.57013613824837
605452,Joe Ross,2024,186,24,90.76037691501789,,SP,FF,97.52333286348822,6.366416334127703,97.24377592876999,78.99050247057006,119.27129679568058,80.79262870500875,118.99112670977497,39.37713841896115
541640,Erasmo Ramírez,2024,13,7,92.97288579510817,,RP,FF,97.52333286348822,6.366416334127703,97.24377592876999,78.99050247057006,119.27129679568058,80.79262870500875,118.99112670977497,42.85241990225018
